# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.waitingTime90PNs,1730990837321000000,1730990841238000000,0
FlushQueue.executionTimeAvgNs,1730990837321000000,1730990841238000000,0.0
FlushQueue.executionTime90PNs,1730990837321000000,1730990841238000000,0
FlushQueue.queueSize90P,1730990837321000000,1730990841238000000,0
FlushQueue.executionTimeMaxNs,1730990837321000000,1730990841238000000,0
WriteAction.executionsCount,1730990837321000000,1730990841238000000,0
AWTEventQueue.dispatchTimeMaxNs,1730990837321000000,1730990841238000000,0
AWTEventQueue.dispatchTime90PNs,1730990837321000000,1730990841238000000,0
AWTEventQueue.dispatchTimeAvgNs,1730990837321000000,1730990841238000000,0.0
FlushQueue.queueSizeAvg,1730990837321000000,1730990841238000000,0.0
AWTEventQueue.dispatchTimeTotalNS,1730990837321000000,1730990841238000000,429966691
AWTEventQueue.eventsDispatched,1730990837321000000,1730990841238000000,0
FlushQueue.queueSizeMax,1730990837321000000,1730990841238000000,0
FlushQueue.waitingTimeAvgNs,1730990837321000000,1730990841238000000,0.0
FlushQueue.tasksExecuted,1730990837321000000,1730990841238000000,0
FlushQueue.waitingTimeMaxNs,1730990837321000000,1730990841238000000,0
ReadAction.executionsCount,1730990837321000000,1730990841238000000,1
cacheStateStorage.get.counter,1730990837321000000,1730990841238000000,2
cacheStateStorage.set.counter,1730990837321000000,1730990841238000000,0
cacheStateStorage.get.duration,1730990837321000000,1730990841238000000,104
cacheStateStorage.set.duration,1730990837321000000,1730990841238000000,0
VFS.fileChildByName,1730990837321000000,1730990841238000000,0
VFS.fileByIdCache.hits,1730990837321000000,1730990841238000000,0
VFS.invertedFileNameIndex.requests,1730990837321000000,1730990841238000000,0
VFS.fileByIdCache.misses,1730990837321000000,1730990841238000000,0
FilePageCache.capacityInBytes,1730990837321000000,1730990841238000000,503316478
FilePageCacheLockFree.nativeBytesInUse,1730990837321000000,1730990841238000000,0
FilePageCacheLockFree.totalPagesWritten,1730990837321000000,1730990841238000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1730990837321000000,1730990841238000000,41959424
MappedFileStorage.totalBytesMapped,1730990837321000000,1730990841238000000,0
StorageLockContext.competingThreads.avg,1730990837321000000,1730990841238000000,0.0
FilePageCacheLockFree.totalPagesReadMs,1730990837321000000,1730990841238000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1730990837321000000,1730990841238000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1730990837321000000,1730990841238000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1730990837321000000,1730990841238000000,0
FilePageCacheLockFree.totalBytesRequested,1730990837321000000,1730990841238000000,0
DirectByteBufferAllocator.hits,1730990837321000000,1730990841238000000,3
FilePageCacheLockFree.totalPagesHandedOver,1730990837321000000,1730990841238000000,0
FilePageCacheLockFree.heapBytesInUse,1730990837321000000,1730990841238000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1730990837321000000,1730990841238000000,0
StorageLockContext.competingThreads.max,1730990837321000000,1730990841238000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1730990837321000000,1730990841238000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1730990837321000000,1730990841238000000,0
FilePageCache.uncachedFileAccess,1730990837321000000,1730990841238000000,162
FilePageCacheLockFree.totalHeapBytesReclaimed,1730990837321000000,1730990841238000000,0
MappedFileStorage.storages,1730990837321000000,1730990841238000000,0
FilePageCacheLockFree.totalPagesReclaimed,1730990837321000000,1730990841238000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1730990837321000000,1730990841238000000,41959424
StorageLockContext.competingThreads.90P,1730990837321000000,1730990841238000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1730990837321000000,1730990841238000000,2522
FilePageCacheLockFree.totalNativeBytesAllocated,1730990837321000000,1730990841238000000,0
FilePageCacheLockFree.totalBytesRead,1730990837321000000,1730990841238000000,0
FilePageCache.maxCacheSizeInBytes,1730990837321000000,1730990841238000000,266354688
FilePageCache.pageLoads,1730990837321000000,1730990841238000000,259
FilePageCache.maxRegisteredFiles,1730990837321000000,1730990841238000000,704
FilePageCacheLockFree.totalPagesWriteMs,1730990837321000000,1730990841238000000,0
FilePageCacheLockFree.totalPagesAllocated,1730990837321000000,1730990841238000000,0
DirectByteBufferAllocator.misses,1730990837321000000,1730990841238000000,256
MappedFileStorage.totalPagesMapped,1730990837321000000,1730990841238000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1730990837321000000,1730990841238000000,0
FilePageCache.pageHits,1730990837321000000,1730990841238000000,0
DirectByteBufferAllocator.disposed,1730990837321000000,1730990841238000000,214
FilePageCache.disposedBuffers,1730990837321000000,1730990841238000000,259
FilePageCache.totalPageLoadsUs,1730990837321000000,1730990841238000000,90170
DirectByteBufferAllocator.reclaimed,1730990837321000000,1730990841238000000,45
FilePageCache.pageFastCacheHits,1730990837321000000,1730990841238000000,5146
FilePageCacheLockFree.totalPagesRequestsMs,1730990837321000000,1730990841238000000,0
FilePageCacheLockFree.totalBytesWritten,1730990837321000000,1730990841238000000,0
FilePageCacheLockFree.totalPagesRequested,1730990837321000000,1730990841238000000,0
FilePageCache.totalPageDisposalsUs,1730990837321000000,1730990841238000000,939
FilePageCacheLockFree.housekeeperTurnsSkipped,1730990837321000000,1730990841238000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1730990837321000000,1730990841238000000,0
